"NoCategorieSousCategorie";"NoSousCategorie";"NoCategorie";"TitreOffre";"Supprimer";"Approuver";"Description";"NoOffre"
"1024";"C";"107";"Conseil pour apprentissage d'une langue étrangère";"-1";"0";"Vous fournir les bases pour l'apprentissage d'une langue seconde ou étrangère.";"48"
"1025";"I";"108";"Aide aux études sciences humaines / sociales";"0";"-1";"Aide pour vos études et travaux en sciences humaines et sociales";"18"
"1026";"B";"300";"Organisation / animation activité de L'Accorderie";"0";"-1";"Organisation et/ou animation d'une activité réalisée pour L'Accorderie";"6"
"1027";"D";"109";"Initiation danses brésiliennes";"0";"-1";"Initiation à des danses brésiliennes: samba, etc.";"11"
"1028";"C";"107";"Conseils apprentissage langue étrangère";"0";"-1";"Fournit les bases pour l'apprentissage d'une langue seconde ou étrangère";"6"
"1029";"B";"105";"Cuisine plats grecs";"0";"-1";"Cuisine pour vous des plats de la Grèce";"20"
"1030";"B";"105";"Cuisine plats iraniens";"0";"-1";"Cuisine pour vous des plats d'Iran";"21"
"1031";"D";"103";"Covoiturage de Québec vers la Côte-Nord";"0";"-1";"Possibilité de covoiturage en direction de la Côte-Nord (Baie-Comeau, Sept-Iles, etc.)";"10"
"1032";"C";"300";"Rencontre de travail pour journal";"0";"-1";"Rencontres de travail pour le contenu et la réalisation du journal";"5"
"1033";"B";"108";"Accompagnement au piano";"0";"-1";"Accompagnement au piano pour chanteur et/ou autre musicien";"12"
"1034";"F";"103";"Covoiturage de Montréal vers Sherbrooke";"0";"-1";"Possibilité de covoiturage en direction de Sherbrooke";"4"
"1035";"F";"109";"Magicien";"0";"-1";"Animation avec divers tours de magie";"12"
"1036";"D";"108";"Initiation tours de magie";"0";"-1";"Vous montre des tours de base pour magicien";"23"
"1037";"E";"110";"Pédicure / soins esthétiques du pied";"0";"-1";"Pédicure et autres soins esthétiques pour les pieds (avec ou sans décoration des ongles)";"16"
"1038";"D";"103";"Covoiturage de Québec vers l'Île d'Orléans";"0";"-1";"Possibilité de covoiturage en direction de l'Île d'Orléans";"11"
"1039";"C";"111";"Visite guidée rivière St-Charles à Québec";"0";"-1";"Visite guidée des abords de la rivière St-Charles";"9"
"1040";"A";"106";"Confection feutrine";"0";"-1";"Confectionne feutrine pour usages divers (objets utilitaires, décoratifs, etc.)";"69"
"1041";"C";"104";"Pose plancher de bois";"0";"-1";"Pose de plancher (bois-franc, plancher flottant...)";"7"
"1042";"B";"500";"Développement Tableau de bord - Réseau";"0";"-1";"Développement du Tableau de bord pour le Réseau Accorderie";"3"
"1043";"O";"500";"Tâches cléricales pour le Réseau";"0";"-1";"Accomplissement de tâches cléricales pour le Réseau Accorderie";"1"
"1044";"O";"500";"Tâches manuelles pour le Réseau";"0";"-1";"Accomplissement de tâches manuelles pour le Réseau Accorderie";"2"
"1045";"E";"500";"Rencontre de travail pour promotion Réseau";"0";"-1";"Rencontre de travail pour planifier ou organiser la promotion du Réseau Accorderie";"1"
"1046";"E";"500";"Conception vidéo / outils de promotion Réseau";"0";"-1";"Conception d'une vidéo ou de tout document, outil, projet faisant la promotion du Réseau Accorderie";"2"
"1047";"E";"500";"Participation à vidéo / outils de promotion Réseau";"0";"-1";"Participation à la réalisation d'une vidéo ou à d'autres projets faisant la promotion du Réseau Accorderie";"3"
