id,age,genre,revenu,ville,region,arrondissement,adresse,accorderie,mapid
2160,0,1,10001-20000,Longueuil,Montérégie,Greenfield Park,J4V,115,8305
2161,66-80,0,10001-20000,Longueuil,Montérégie,Le Vieux-Longueuil,J4M,115,8306
2162,66-80,0,50001-,Montréal,Montréal,Verdun,H3E,115,8307
2185,31-54,0,0,Longueuil,Montérégie,Le Vieux-Longueuil,J4K,115,8275
2186,66-80,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4H,115,8276
2226,55-65,1,20001-30000,Marieville,Montérégie,,J3M,115,8240
2231,31-54,0,20001-30000,Montréal,Montréal,Mercier--Hochelaga-Maisonneuve,H1V,88,8232
2234,55-65,1,30001-50000,Longueuil,Montérégie,Saint-Hubert,J4T,115,8229
2251,66-80,1,30001-50000,Saint-Hyacinthe,Montérégie,,J2R,115,8211
2253,66-80,0,30001-50000,Verchères,Montérégie,,J0L,115,8213
2254,31-54,0,0-10000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,8214
2255,66-80,0,0,Longueuil,Montérégie,Le Vieux-Longueuil,J4G,115,8215
2260,66-80,0,50001-,Longueuil,Montérégie,Le Vieux-Longueuil,J4L,115,8210
2291,31-54,0,10001-20000,Longueuil,Montérégie,Saint-Hubert,J4T,115,8173
2316,81-95,1,0,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,8149
2317,55-65,0,0,Longueuil,Montérégie,Le Vieux-Longueuil,J4G,115,8150
2318,55-65,1,30001-50000,Sainte-Catherine,Montérégie,,J5C,115,8151
2319,66-80,0,50001-,Brossard,Montérégie,,J4Z,115,8152
2322,0,0,0,Longueuil,Montérégie,Saint-Hubert,J4T,115,8139
2352,0,0,10001-20000,Saint-Lambert,Montérégie,,J4P,115,8104
2360,55-65,0,50001-,Montréal,Montréal,Anjou,H1M,114,8092
2373,96-150,0,20001-30000,Longueuil,Montérégie,Saint-Hubert,J3Y,115,8081
2383,66-80,0,0-10000,Longueuil,Montérégie,Saint-Hubert,J3Y,115,8082
2384,81-95,0,30001-50000,Saint-Lambert,Montérégie,,J4R,115,8083
2385,55-65,0,0-10000,Longueuil,Montérégie,Le Vieux-Longueuil,J4H,115,8084
2419,55-65,0,0,Longueuil,Montérégie,Saint-Hubert,J3Y,115,8038
2421,31-54,0,50001-,Longueuil,Montérégie,Greenfield Park,J4V,115,8040
2451,66-80,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4K,115,8008
2453,81-95,0,10001-20000,Longueuil,Montérégie,Le Vieux-Longueuil,J4K,115,8014
2458,18-30,0,10001-20000,Montréal,Montréal,Mercier--Hochelaga-Maisonneuve,H1W,113,8001
